"activateable","associateEntityType","associateParentEntity","createable","custom","customSetting","deepCloneable","deletable","deprecatedAndHidden","feedEnabled","hasSubtypes","idEnabled","isInterface","isSubtype","keyPrefix","label","labelPlural","layoutable","mergeable","mruEnabled","name","queryable","replicateable","retrieveable","searchable","triggerable","undeletable","updateable"
"false",,,"false","false","false",,"false","false","false","false","true",,"false",,"History: FlexNet Device","History: FlexNet Device","false","false","false","FlexNet_Device__History","true","true","true","false","false","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Share: FlexNet Device","Share: FlexNet Device","false","false","false","FlexNet_Device__Share","true","false","true","false","false","false","true"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Tag: FlexNet Device","Tag: FlexNet Device","false","false","false","FlexNet_Device__Tag","true","false","true","false","false","false","false"
"false",,,"true","true","false",,"true","false","false","false","true",,"false","aKG","FlexNet Device","FlexNet Devices","true","false","true","FlexNet_Device__c","true","true","true","true","true","true","true"
"false",,,"false","false","false",,"false","false","false","false","false",,"false","06i","Flex Queue Item","Flex Queue Items","false","false","false","FlexQueueItem","true","false","false","false","false","false","false"
"false",,,"false","false","false",,"false","false","false","false","false",,"false",,"Change Event: Flex protect product Config","Change Event: Flex protect product Config","false","false","false","Flex_Protect_Prod_Config__ChangeEvent","false","false","true","false","true","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Tag: Flex protect product Config","Tag: Flex protect product Config","false","false","false","Flex_Protect_Prod_Config__Tag","true","false","true","false","false","false","false"
"false",,,"true","true","true",,"true","false","false","false","true",,"false","a1S","Flex protect product Config","Flex protect product Config","true","false","false","Flex_Protect_Prod_Config__c","true","true","true","true","false","true","true"
"false",,,"false","false","false",,"true","false","false","false","true",,"false","0Fo","Flow Interview","Flow Interviews","true","false","false","FlowInterview","true","true","true","false","false","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Flow Interview Share","Flow Interview Share","false","false","false","FlowInterviewShare","true","false","true","false","false","false","true"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","00l","Folder","Folders","false","false","false","Folder","true","true","true","true","false","false","true"
"false",,,"false","false","false",,"false","false","false","false","true",,"false",,"Foldered Content Document","Foldered Content Documents","false","false","false","FolderedContentDocument","false","false","false","false","false","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","0G7","Forecasting Adjustment","Forecasting Adjustments","false","false","false","ForecastingAdjustment","true","true","true","false","false","false","true"
